#separator:tab
#html:true
#columns:Key	Radical	Variant1	Variant2	ReferenceVariants	Pinyin	Meaning	MemberChars	Productivity	Frequency	Decomposition	MemberDecomp	Note	Link	Tags
#tags column:15
宀:mian2	宀				mián	roof	家室宁宝完定院案	283		once:冖+丶	家=宀+豕|室=宀+至|宁=宀+丁|宝=宀+玉|完=宀+元|定=宀+𤴓|院=阝+完|案=安+木	'Roof' radical — used in chars about buildings, dwellings, containment: 家, 室, 安, 完, 守.	https://hanzicraft.com/dashboard/character/%E5%AE%80%E5%AE%B6%E5%AE%A4%E5%AE%81%E5%AE%9D%E5%AE%8C%E5%AE%9A%E9%99%A2%E6%A1%88	kangxi-radical radical-core
山:shan1	山				shān	mountain	岛峰岭岗崖崎岔屿	171	259	once:丨+凵	岛=?+山|峰=山+夆|岭=山+令|岗=山+冈|崖=山+厓|崎=山+奇|岔=分+山|屿=山+与		https://hanzicraft.com/dashboard/character/%E5%B1%B1%E5%B2%9B%E5%B3%B0%E5%B2%AD%E5%B2%97%E5%B4%96%E5%B4%8E%E5%B2%94%E5%B1%BF	kangxi-radical radical-core
广:guang3	广				guǎng	(dotted cliff)	床店府度座庭麻底	117	468	once:厂+丶	床=广+木|店=广+占|府=广+付|度=?+又|座=广+坐|庭=广+廷|麻=广+林|底=广+氐	'Dotted cliff' / 'shed' radical — semantically 'building under a roof'. Used in 床, 店, 府, 度, 庭.	https://hanzicraft.com/dashboard/character/%E5%B9%BF%E5%BA%8A%E5%BA%97%E5%BA%9C%E5%BA%A6%E5%BA%A7%E5%BA%AD%E9%BA%BB%E5%BA%95	kangxi-radical radical-core
心:xin1	心	忄	⺗		xīn	heart	情感想念忘怕思忙	319	90	once:𠁼+㇃	情=忄+青|感=咸+心|想=相+心|念=今+心|忘=亡+心|怕=忄+白|思=田+心|忙=忄+亡	Almost always semantic (heart / emotion), not phonetic. When 忄 appears on the left, the meaning is always emotion-related.	https://hanzicraft.com/dashboard/character/%E5%BF%83%E6%83%85%E6%84%9F%E6%83%B3%E5%BF%B5%E5%BF%98%E6%80%95%E6%80%9D%E5%BF%99	kangxi-radical radical-core
日:ri4	日				rì	sun / day / date, day of the month / abbr. for 日本 Japan	明早春时晚晴是星	664	101	once:口+一	明=日+月|早=日+十|春=𡗗+日|时=日+寸|晚=日+免|晴=日+青|是=日+𤴓|星=日+生	Visually similar to 曰 (yuē, 'say'). 日 is taller and narrower; 曰 is squatter and wider. Both have a horizontal stroke inside.	https://hanzicraft.com/dashboard/character/%E6%97%A5%E6%98%8E%E6%97%A9%E6%98%A5%E6%97%B6%E6%99%9A%E6%99%B4%E6%98%AF%E6%98%9F	kangxi-radical radical-core
月:yue4	月				yuè	moon	有期朋服望脸腿胸	529	169	once:冂+二	有=𠂇+月|期=其+月|朋=月|服=月+𠬝|望=肓+王|脸=月+佥|腿=月+退|胸=月+匈	Visually identical to 肉 (⺼, 'meat/flesh') when used as a left-side radical. Same printed shape in modern fonts; etymologically distinct. Body parts (脸, 腿, 胸, 肝) use the 肉 form; time/light words (期, 朝, 明) use the 月 form.	https://hanzicraft.com/dashboard/character/%E6%9C%88%E6%9C%89%E6%9C%9F%E6%9C%8B%E6%9C%8D%E6%9C%9B%E8%84%B8%E8%85%BF%E8%83%B8	kangxi-radical radical-core
木:mu4	木				mù	tree	林森本朱树枝根桃	592	693	once:十+八	林=木|森=木|本=木+一|朱=未+㇒|树=木+对|枝=木+支|根=木+艮|桃=木+兆		https://hanzicraft.com/dashboard/character/%E6%9C%A8%E6%9E%97%E6%A3%AE%E6%9C%AC%E6%9C%B1%E6%A0%91%E6%9E%9D%E6%A0%B9%E6%A1%83	kangxi-radical radical-core
水:shui3	水	氵	氺		shuǐ	water	河海湖洋洗淋汁汗	516	202		河=氵+可|海=氵+每|湖=氵+胡|洋=氵+羊|洗=氵+先|淋=氵+林|汁=氵+十|汗=氵+干	Three positional forms: 水 (standalone), 氵 (left — 'three dots water'), 氺 (bottom — rare). 氵 is by far the most common in modern usage.	https://hanzicraft.com/dashboard/character/%E6%B0%B4%E6%B2%B3%E6%B5%B7%E6%B9%96%E6%B4%8B%E6%B4%97%E6%B7%8B%E6%B1%81%E6%B1%97	kangxi-radical radical-core
火:huo3	火	灬			huǒ	fire	灯烧烤炒煤热点炎	226	433		灯=火+丁|烧=火+尧|烤=火+考|炒=火+少|煤=火+某|热=执+灬|点=占+灬|炎=火	Bottom-position variant: 灬 ('four dots fire'). Used in 热, 点, 煮, 蒸, 照, 然.	https://hanzicraft.com/dashboard/character/%E7%81%AB%E7%81%AF%E7%83%A7%E7%83%A4%E7%82%92%E7%85%A4%E7%83%AD%E7%82%B9%E7%82%8E	kangxi-radical radical-core
疒:ne4	疒				nè	sickness	病疼痛瘦痒疯疲疾	98		once:亠+广	病=疒+丙|疼=疒+冬|痛=疒+甬|瘦=疒+叟|痒=疒+羊|疯=疒+风|疲=疒+皮|疾=疒+矢		https://hanzicraft.com/dashboard/character/%E7%96%92%E7%97%85%E7%96%BC%E7%97%9B%E7%98%A6%E7%97%92%E7%96%AF%E7%96%B2%E7%96%BE	kangxi-radical radical-core
目:mu4	目				mù	eye / item / section / list / catalogue / table of contents / order (taxonomy) / goal / name / title	看眼睡睛瞎瞄瞌瞪	232	239	once:口+二	看=龵+目|眼=目+艮|睡=目+垂|睛=目+青|瞎=目+害|瞄=目+苗|瞌=目+盍|瞪=目+登		https://hanzicraft.com/dashboard/character/%E7%9B%AE%E7%9C%8B%E7%9C%BC%E7%9D%A1%E7%9D%9B%E7%9E%8E%E7%9E%84%E7%9E%8C%E7%9E%AA	kangxi-radical radical-core
竹:zhu2	竹	⺮			zhú	bamboo	笔等第答策篇箱筋	237	1586		笔=⺮+毛|等=⺮+寺|第=⺮+𢎨|答=⺮+合|策=⺮+朿|篇=⺮+扁|箱=⺮+相	Bottom variant when used as top radical: ⺮ ('bamboo top'). Used in 笔, 笑, 第, 答, 篮.	https://hanzicraft.com/dashboard/character/%E7%AB%B9%E7%AC%94%E7%AD%89%E7%AC%AC%E7%AD%94%E7%AD%96%E7%AF%87%E7%AE%B1%E7%AD%8B	kangxi-radical radical-core
米:mi3	米				mǐ	rice	粉粒粥糖糕糊精料	158	575	once:木+丷	粉=米+分|粒=米+立|粥=弜+米|糖=米+唐|糕=米+羔|糊=米+胡|精=米+青|料=米+斗		https://hanzicraft.com/dashboard/character/%E7%B1%B3%E7%B2%89%E7%B2%92%E7%B2%A5%E7%B3%96%E7%B3%95%E7%B3%8A%E7%B2%BE%E6%96%99	kangxi-radical radical-core
贝:bei4	贝	貝			bèi	shell	财货赔购账贵贫资	269	1131	once:冂+人	财=贝+才|货=化+贝|赔=贝+咅|购=贝+勾|账=贝+长|贵=𠀐+贝|贫=分+贝|资=次+贝	Traditional: 貝<br>Semantic for money/trade. The original form 貝 represented cowrie shells, used as currency in ancient times.	https://hanzicraft.com/dashboard/character/%E8%B4%9D%E8%B4%A2%E8%B4%A7%E8%B5%94%E8%B4%AD%E8%B4%A6%E8%B4%B5%E8%B4%AB%E8%B5%84	kangxi-radical radical-core
车:che1	车	車			chē	cart	轮转辆较输辅辈轨	183	361	once:七+十	轮=车+仑|转=车+专|辆=车+两|较=车+交|输=车+俞|辅=车+甫|辈=非+车|轨=车+九	Traditional: 車	https://hanzicraft.com/dashboard/character/%E8%BD%A6%E8%BD%AE%E8%BD%AC%E8%BE%86%E8%BE%83%E8%BE%93%E8%BE%85%E8%BE%88%E8%BD%A8	kangxi-radical radical-core
钅:jin1	钅	金	釒		jīn	gold	银铜铁钱钟针钉钢	492	5495		银=钅+艮|铜=钅+同|铁=钅+失|钱=钅+戋|钟=钅+中|针=钅+十|钉=钅+丁|钢=钅+冈	Traditional: 金<br>Simplified left form of 金 (metal). All metals + metallic objects.	https://hanzicraft.com/dashboard/character/%E9%92%85%E9%93%B6%E9%93%9C%E9%93%81%E9%92%B1%E9%92%9F%E9%92%88%E9%92%89%E9%92%A2	kangxi-radical radical-core
门:men2	门	門			mén	gate	闭闹闯闻问间閃閣	144	185		闭=门+才|闹=门+市|闯=门+马|闻=门+耳|问=门+口|间=门+日|閃=門+人|閣=門+各	Traditional: 門	https://hanzicraft.com/dashboard/character/%E9%97%A8%E9%97%AD%E9%97%B9%E9%97%AF%E9%97%BB%E9%97%AE%E9%97%B4%E9%96%83%E9%96%A3	kangxi-radical radical-core
页:ye4	页	頁			yè	leaf	顶顺须顾领颗顿额	132	1126	once:丆+贝	顶=丁+页|顺=川+页|须=彡+页|顾=厄+页|领=令+页|颗=果+页|顿=屯+页|额=客+页	Traditional: 頁	https://hanzicraft.com/dashboard/character/%E9%A1%B5%E9%A1%B6%E9%A1%BA%E9%A1%BB%E9%A1%BE%E9%A2%86%E9%A2%97%E9%A1%BF%E9%A2%9D	kangxi-radical radical-core
马:ma3	马	馬			mǎ	horse	驾驴骆骑驶骄驰驯	155	276		驾=加+马|驴=马+户|骆=马+各|骑=马+奇|驶=马+史|骄=马+乔|驰=马+也|驯=马+川	Traditional: 馬	https://hanzicraft.com/dashboard/character/%E9%A9%AC%E9%A9%BE%E9%A9%B4%E9%AA%86%E9%AA%91%E9%A9%B6%E9%AA%84%E9%A9%B0%E9%A9%AF	kangxi-radical radical-core
鱼:yu2	鱼	魚			yú	fish	鲨鲸鲤鲈鲍鳗鲜鳄	226	850		鲨=沙+鱼|鲸=鱼+京|鲤=鱼+里|鲈=鱼+卢|鲍=鱼+包|鳗=鱼+曼|鲜=鱼+羊|鳄=鱼+咢	Traditional: 魚	https://hanzicraft.com/dashboard/character/%E9%B1%BC%E9%B2%A8%E9%B2%B8%E9%B2%A4%E9%B2%88%E9%B2%8D%E9%B3%97%E9%B2%9C%E9%B3%84	kangxi-radical radical-core
鸟:niao3	鸟	鳥			niǎo	bird	鸡鸭鹅鸽鹰鹊鹏鸣	204	1261		鸡=又+鸟|鸭=甲+鸟|鹅=我+鸟|鸽=合+鸟|鹰=䧹+鸟|鹊=昔+鸟|鹏=朋+鸟|鸣=口+鸟	Traditional: 鳥	https://hanzicraft.com/dashboard/character/%E9%B8%9F%E9%B8%A1%E9%B8%AD%E9%B9%85%E9%B8%BD%E9%B9%B0%E9%B9%8A%E9%B9%8F%E9%B8%A3	kangxi-radical radical-core
工:gong1	工				gōng	work	左巧差功攻贡经	121	118	once:一+丄	左=𠂇+工|巧=工+丂|差=羊+工|功=工+力|攻=工+⺙|贡=工+贝|经=纟+?	Also a phonetic component (gōng) — see the phonetic-components deck for 工:gōng / gǒng with member sets 功攻 / 巩鞏汞銾.	https://hanzicraft.com/dashboard/character/%E5%B7%A5%E5%B7%A6%E5%B7%A7%E5%B7%AE%E5%8A%9F%E6%94%BB%E8%B4%A1%E7%BB%8F	kangxi-radical radical-core
革:ge2	革				gé	leather	鞋鞭靴鞍鞠鞘	65	521		鞋=革+圭|鞭=革+便|靴=革+化|鞍=革+安|鞠=革+匊|鞘=革+肖		https://hanzicraft.com/dashboard/character/%E9%9D%A9%E9%9E%8B%E9%9E%AD%E9%9D%B4%E9%9E%8D%E9%9E%A0%E9%9E%98	kangxi-radical radical-core
冫:bing1	冫				bīng	"ice" radical in Chinese characters (Kangxi radical 15), occurring in 冰, 决, 次 / see also 兩點水|两点水[liang3 dian3 shui3]	冶冷次资决准况率	100		once:丶+㇀	冶=冫+台|冷=冫+令|次=冫+欠|资=次+贝|决=冫+夬|准=冫+隹|况=冫+兄|率=亠+?		https://hanzicraft.com/dashboard/character/%E5%86%AB%E5%86%B6%E5%86%B7%E6%AC%A1%E8%B5%84%E5%86%B3%E5%87%86%E5%86%B5%E7%8E%87	kangxi-radical radical-common
十:shi2	十				shí	ten / 10	十千博年事使将重	560	112	once:一+丨	十=一+丨|千=㇒+十|博=十+尃|年=𠂉+㐄|事=?+亅|使=亻+吏|将=丬+𪨃|重=千+里		https://hanzicraft.com/dashboard/character/%E5%8D%81%E5%8D%81%E5%8D%83%E5%8D%9A%E5%B9%B4%E4%BA%8B%E4%BD%BF%E5%B0%86%E9%87%8D	kangxi-radical radical-common
卩:jie2	卩	㔾			jié	seal (device)	印报命却即服察脚	45		once:丨+㇆	印=?+卩|报=扌+𠬝|命=亼+叩|却=去+卩|即=?+卩|服=月+𠬝|察=宀+祭|脚=月+却	Visually similar to 阝 (left or right). 卩 is shorter — used standalone or in 印, 卯, 危.	https://hanzicraft.com/dashboard/character/%E5%8D%A9%E5%8D%B0%E6%8A%A5%E5%91%BD%E5%8D%B4%E5%8D%B3%E6%9C%8D%E5%AF%9F%E8%84%9A	kangxi-radical radical-common
囗:wei2	囗				wéi	enclosure	四回国因西口团图	126		once:冂+一	四=囗+儿|回=囗|国=囗+玉|因=囗+大|西=兀+囗|口=囗|团=囗+才|图=囗+冬		https://hanzicraft.com/dashboard/character/%E5%9B%97%E5%9B%9B%E5%9B%9E%E5%9B%BD%E5%9B%A0%E8%A5%BF%E5%8F%A3%E5%9B%A2%E5%9B%BE	kangxi-radical radical-common
士:shi4	士				shì	scholar	士壹任声结装志喜	137	372	once:十+一	士=十+一|壹=士+?|任=亻+壬|声=士+𠃜|结=纟+吉|装=壮+衣|志=士+心|喜=士+?	Visually similar to 土 (tǔ, earth). 士 has the UPPER horizontal longer; 土 has the LOWER one longer.	https://hanzicraft.com/dashboard/character/%E5%A3%AB%E5%A3%AB%E5%A3%B9%E4%BB%BB%E5%A3%B0%E7%BB%93%E8%A3%85%E5%BF%97%E5%96%9C	kangxi-radical radical-common
寸:cun4	寸				cùn	inch	寸寺尊时对得过等	156	1901		寸=?+丶|寺=土+寸|尊=酋+寸|时=日+寸|对=又+寸|得=彳+㝵|过=辶+寸|等=⺮+寺		https://hanzicraft.com/dashboard/character/%E5%AF%B8%E5%AF%B8%E5%AF%BA%E5%B0%8A%E6%97%B6%E5%AF%B9%E5%BE%97%E8%BF%87%E7%AD%89	kangxi-radical radical-common
小:xiao3	小	⺌	⺍		xiǎo	small	小少就你将新原东	343	83	once:亅+八	小=亅+八|少=小+丿|就=京+尤|你=亻+尔|将=丬+𪨃|新=亲+斤|原=厂+𤽄|东=七+小		https://hanzicraft.com/dashboard/character/%E5%B0%8F%E5%B0%8F%E5%B0%91%E5%B0%B1%E4%BD%A0%E5%B0%86%E6%96%B0%E5%8E%9F%E4%B8%9C	kangxi-radical radical-common
尢:wang1	尢	尣			wāng	lame	尤就无优犹忧扰稽	21	6331	once:𠂇+乚	尤=尢+丶|就=京+尤|无=一+尢|优=亻+尤|犹=犭+尤|忧=忄+尤|扰=扌+尤|稽=禾+?		https://hanzicraft.com/dashboard/character/%E5%B0%A2%E5%B0%A4%E5%B0%B1%E6%97%A0%E4%BC%98%E7%8A%B9%E5%BF%A7%E6%89%B0%E7%A8%BD	kangxi-radical radical-common
尸:shi1	尸				shī	corpse	尺局展据呢尽属假	165	1515		尺=尸+㇏|局=尸+?|展=尸+?|据=扌+居|呢=口+尼|尽=尺+⺀|属=尸+禹|假=亻+叚	Visually similar to 户 (hù, door). 户 has an extra dot; 尸 is bare. Used in body-position chars: 居, 屋, 屑, 屁.	https://hanzicraft.com/dashboard/character/%E5%B0%B8%E5%B0%BA%E5%B1%80%E5%B1%95%E6%8D%AE%E5%91%A2%E5%B0%BD%E5%B1%9E%E5%81%87	kangxi-radical radical-common
屮:che4	屮				chè	sprout	屯顿纯吨逆塑厥溯	54		once:丨+凵	屯=十+𡳾|顿=屯+页|纯=纟+屯|吨=口+屯|逆=辶+屰|塑=朔+土|厥=厂+欮|溯=氵+朔		https://hanzicraft.com/dashboard/character/%E5%B1%AE%E5%B1%AF%E9%A1%BF%E7%BA%AF%E5%90%A8%E9%80%86%E5%A1%91%E5%8E%A5%E6%BA%AF	kangxi-radical radical-common
巛:chuan1	巛	川	巜		chuān	river	川巡巢剿瑙淄辎經	53	8160	once:㇛×2	川=丨|巡=辶+巛|巢=巛+果|剿=巢+刂|瑙=王+?|淄=氵+甾|辎=车+甾|經=糹+巠		https://hanzicraft.com/dashboard/character/%E5%B7%9B%E5%B7%9D%E5%B7%A1%E5%B7%A2%E5%89%BF%E7%91%99%E6%B7%84%E8%BE%8E%E7%B6%93	kangxi-radical radical-common
己:ji3	己				jǐ	oneself	己巳起已记改纪配	85	162		己=?+乚|巳=尸+乚|起=走+己|已=己|记=讠+己|改=己+⺙|纪=纟+己|配=酉+己	Three nearly-identical chars: 己 (jǐ, self), 已 (yǐ, already), 巳 (sì, sixth earthly branch). 己 is open on top-right; 已 is half-closed; 巳 is fully closed.	https://hanzicraft.com/dashboard/character/%E5%B7%B1%E5%B7%B1%E5%B7%B3%E8%B5%B7%E5%B7%B2%E8%AE%B0%E6%94%B9%E7%BA%AA%E9%85%8D	kangxi-radical radical-common
巾:jin1	巾				jīn	turban	市布帝常制师带农	167	2276	once:冂+丨	市=亠+巾|布=𠂇+巾|帝=?+巾|常=龸+吊|制=?+刂|师=?+帀|带=卅+?|农=巾+𧘇		https://hanzicraft.com/dashboard/character/%E5%B7%BE%E5%B8%82%E5%B8%83%E5%B8%9D%E5%B8%B8%E5%88%B6%E5%B8%88%E5%B8%A6%E5%86%9C	kangxi-radical radical-common
干:gan1	干				gān	tree trunk / main part of sth / to manage / to work / to do / capable / cadre / to kill (slang) / to fuck (vulgar)	平于许南除评幸赶	145	353	once:一+十	平=干+丷|于=干+亅|许=讠+午|南=十+?|除=阝+余|评=讠+平|幸=土+𢆉|赶=走+干	Visually similar to 千 (qiān, thousand). 干 starts with a horizontal stroke; 千 starts with a slanted 丿.	https://hanzicraft.com/dashboard/character/%E5%B9%B2%E5%B9%B3%E4%BA%8E%E8%AE%B8%E5%8D%97%E9%99%A4%E8%AF%84%E5%B9%B8%E8%B5%B6	kangxi-radical radical-common
幺:yao1	幺				yāo	short thread	幻幼率玄後溪摔奚	30	4487		幻=幺+㇆|幼=幺+力|率=亠+?|玄=亠+幺|後=彳+?|溪=氵+奚|摔=扌+率|奚=爫+𡗞		https://hanzicraft.com/dashboard/character/%E5%B9%BA%E5%B9%BB%E5%B9%BC%E7%8E%87%E7%8E%84%E5%BE%8C%E6%BA%AA%E6%91%94%E5%A5%9A	kangxi-radical radical-common
廴:yin3	廴				yǐn	long stride	延建庭健艇挺键廷	37		once:㇋+㇏	延=廴+?|建=廴+聿|庭=广+廷|健=亻+建|艇=舟+廷|挺=扌+廷|键=钅+建|廷=廴+壬		https://hanzicraft.com/dashboard/character/%E5%BB%B4%E5%BB%B6%E5%BB%BA%E5%BA%AD%E5%81%A5%E8%89%87%E6%8C%BA%E9%94%AE%E5%BB%B7	kangxi-radical radical-common
廾:gong3	廾				gǒng	(two hands)	开并形研型刑瓶拼	43		once:艹×2	开=一+廾|并=丷+开|形=开+彡|研=石+开|型=刑+土|刑=开+刂|瓶=并+瓦|拼=扌+并		https://hanzicraft.com/dashboard/character/%E5%BB%BE%E5%BC%80%E5%B9%B6%E5%BD%A2%E7%A0%94%E5%9E%8B%E5%88%91%E7%93%B6%E6%8B%BC	kangxi-radical radical-common
弋:yi4	弋				yì	shoot	式弑代武试袋贷赋	99	4252	once:㇂+一+丶	式=弋+工|弑=杀+式|代=亻+弋|武=?+止|试=讠+式|袋=代+衣|贷=代+贝|赋=贝+武		https://hanzicraft.com/dashboard/character/%E5%BC%8B%E5%BC%8F%E5%BC%91%E4%BB%A3%E6%AD%A6%E8%AF%95%E8%A2%8B%E8%B4%B7%E8%B5%8B	kangxi-radical radical-common
弓:gong1	弓				gōng	a bow (weapon) / CL:張|张[zhang1]	引张弦弧弹弛弩第	82	2224		引=弓+丨|张=弓+长|弦=弓+玄|弧=弓+瓜|弹=弓+单|弛=弓+也|弩=奴+弓|第=⺮+𢎨		https://hanzicraft.com/dashboard/character/%E5%BC%93%E5%BC%95%E5%BC%A0%E5%BC%A6%E5%BC%A7%E5%BC%B9%E5%BC%9B%E5%BC%A9%E7%AC%AC	kangxi-radical radical-common
彐:ji4	彐	彑			jì	snout	当彖即急既灵概录	235		once:㇕+二	当=⺌+彐|彖=彑+𧰨|即=?+卩|急=刍+心|既=?+旡|灵=彐+火|概=木+既|录=彐+氺		https://hanzicraft.com/dashboard/character/%E5%BD%90%E5%BD%93%E5%BD%96%E5%8D%B3%E6%80%A5%E6%97%A2%E7%81%B5%E6%A6%82%E5%BD%95	kangxi-radical radical-common
彡:shan1	彡				shān	bristle	形彦影须参修彩珍	90	7039	once:㇒×2	形=开+彡|彦=产+彡|影=景+彡|须=彡+页|参=?+彡|修=?+?|彩=采+彡|珍=王+㐱		https://hanzicraft.com/dashboard/character/%E5%BD%A1%E5%BD%A2%E5%BD%A6%E5%BD%B1%E9%A1%BB%E5%8F%82%E4%BF%AE%E5%BD%A9%E7%8F%8D	kangxi-radical radical-common
彳:chi4	彳				chì	step	役彼後得徼行很德	54			役=彳+殳|彼=彳+皮|後=彳+?|得=彳+㝵|徼=彳+敫|行=彳+亍|很=彳+艮|德=彳+𢛳		https://hanzicraft.com/dashboard/character/%E5%BD%B3%E5%BD%B9%E5%BD%BC%E5%BE%8C%E5%BE%97%E5%BE%BC%E8%A1%8C%E5%BE%88%E5%BE%B7	kangxi-radical radical-common
戈:ge1	戈				gē	halberd	成我之战或感城越	201	1693	once:㇂+一+㇒+丶	成=万+戈|我=手+戈|之=𪜋+㇝|战=占+戈|或=戓+一|感=咸+心|城=土+成|越=走+戉	Confusable family: 戊 (wù) / 戌 (xū) / 戍 (shù) / 戎 (róng) — all have 戈 with different inner strokes. Plus 我 (wǒ, I/me) and 成 (chéng, become).	https://hanzicraft.com/dashboard/character/%E6%88%88%E6%88%90%E6%88%91%E4%B9%8B%E6%88%98%E6%88%96%E6%84%9F%E5%9F%8E%E8%B6%8A	kangxi-radical radical-common
戶:hu4	戶	户	戸		hù	door	所房护户编篇遍偏	54	799		所=戶+斤|房=户+方|护=扌+户|户=尸+丶|编=纟+扁|篇=⺮+扁|遍=辶+扁|偏=亻+扁		https://hanzicraft.com/dashboard/character/%E6%88%B6%E6%89%80%E6%88%BF%E6%8A%A4%E6%88%B7%E7%BC%96%E7%AF%87%E9%81%8D%E5%81%8F	kangxi-radical radical-common
